      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2014-02-25 14:46:06, 140710,      59.13,           4,       0.03,     2379.67,        0.07,       82.92,  140710,       0
2014-02-25 14:49:55,  91090,      27.46,           2,       0.03,     3317.19,        0.07,       95.78,   91090,    1047
2014-02-25 14:54:17, 128220,      59.28,           3,       0.05,     2162.96,        0.05,       99.88,  128220,       0
2014-02-25 14:57:00,  93859,      59.59,           2,       0.06,     1575.08,        0.03,       99.74,   93859,       0
2014-02-25 15:24:00,   1403,       1.90,           0,       0.17,      738.42,        0.00,      125.38,    1403,    1048
2014-02-25 15:25:33,  84967,      59.04,           2,       0.01,     1439.14,        0.03,       19.87,   84967,       0
2014-05-26 15:09:50,      0,      59.95,           0,        nan,        0.00,        0.00,        0.00,       0,      34
2014-05-26 15:11:38,      0,       9.29,           0,        nan,        0.00,        0.00,        0.00,       0,       4
2014-05-26 15:12:50,      0,       9.28,           0,        nan,        0.00,        0.00,        0.00,       0,       7
2014-05-26 15:17:49,     47,       6.34,           0,       1.30,        7.41,        0.00,        9.66,      47,       0
2014-05-26 15:17:59,      0,       3.01,           0,        nan,        0.00,        0.00,        0.00,       0,       6
2014-05-26 15:18:08,      0,       1.58,           0,        nan,        0.00,        0.00,        0.00,       0,       2
2014-05-26 15:20:51,      0,       9.54,           0,        nan,        0.00,        0.00,        0.00,       0,       0
2014-05-26 15:21:10,      0,       9.73,           0,        nan,        0.00,        0.00,        0.00,       0,       4
2014-05-26 15:23:48,     20,      10.07,           0,       4.31,        1.99,        0.00,        8.56,      20,       4
2014-05-26 15:26:20,  10893,      59.09,           0,       0.50,      184.35,        0.00,       91.64,   10893,       0
